date,auction_month,auction_year,bi_rate,spread_bifd,yield10_ibpa,inflation_rate,idprod_rate,jkse_avg,idrusd_avg,foreign_reserves_log,dpk_bio_log,bnkp_mon_avg,cbbp_gross_avg,forh_avg,forh_avg_sqr,inpp_avg,othp_avg,move,incoming_mio_log,awarded_mio_log,incoming_bio_log,awarded_bio_log,number_series,number_series_sqr,bid_to_cover,bi_covid,usfdtr_policyrate,long_holiday,m2all_bio_log,m1all_bio_log,m1currency_bio_log,m1demanddeposits_bio_log,m2quasi_bio_log,m2securities_bio_log,srbi_incomingbio_log,srbi_awardedbio_log,srbi_bid_to_cover,srbi_way_incoming,srbi_way_awarded,yield01_ibpa,yield05_ibpa
2015-10-01,10,2015,7.5,7.25,8.86178815,6.25,6.5378476,4517.297084,13795.85714,4.978514033,6.640521577,29.20901143,5.325716667,37.51553857,1407.415634,15.39043714,12.55929762,74.51904769,7.494751339,7.351796307,4.494751339,4.351796307,16,256,1.389808719,0,0.25,0,6.647683945,6.015489974,5.638554256,5.779051889,6.530361044,4.190548791,0,0,0,0,0,7.95217079,8.707648438
2015-11-01,11,2015,7.5,7.25,8.768221909,4.89,6.48623328,4518.522972,13672.57143,4.97757624,6.640185094,28.42448714,5.492673476,37.46191905,1403.395379,15.28678714,13.33413333,71.6352943,7.589123769,7.36267093,4.589123769,4.36267093,16,256,1.684429501,0,0.25,0,6.648586824,6.021681527,5.641232306,5.787768219,6.529713789,4.173905028,0,0,0,0,0,7.90868552,8.6374083
2015-12-01,12,2015,7.5,7,8.788500497,3.35,1.73988968,4501.933157,13854.6,5.00271172,6.644739482,28.57480905,5.33522281,38.04090667,1447.11058,15.23366,12.81540381,70.45272723,7.276300925,6.954242509,4.276300925,3.954242509,5,25,2.099222222,0,0.5,1,6.657896868,6.023433475,5.67166724,5.767827656,6.541574425,4.127074332,0,0,0,0,0,7.978685892,8.722631903
2016-01-01,1,2016,7.25,6.75,8.771291807,4.14,2.41315231,4520.577441,13889.05,4.985436399,6.641971962,23.7834435,10.164805,38.4363655,1477.354193,15.1981295,12.417257,74.38777839,7.862102744,7.532180885,4.862102744,4.532180885,19,361,2.137577448,0,0.5,0,6.653054332,6.019638472,5.643326071,5.782748786,6.536115278,4.193473008,0,0,0,0,0,7.874255976,8.657835795
2016-02-01,2,2016,7,6.5,8.320456324,4.42,7.46990229,4708.73584,13515.7,4.994836324,6.647139824,23.5580895,9.9698792,39.181613,1535.198797,15.227578,12.0628405,85.28250008,7.924103465,7.619354247,4.924103465,4.619354247,19,361,2.017201201,0,0.5,0,6.655325871,6.015171358,5.625466217,5.78774465,6.540708877,4.12605929,0,0,0,0,0,7.214635271,8.101517651
2016-03-01,3,2016,6.75,6.25,8.104332473,4.45,2.26578572,4836.206264,13193.14286,5.007568221,6.650205982,23.04765143,9.658609286,38.62821714,1492.13916,15.47147571,13.19404619,76.20909257,7.939078245,7.723701894,4.939078245,4.723701894,24,576,1.642012091,0,0.5,0,6.659143145,6.027242709,5.623470104,5.809239289,6.542039949,4.128432874,0,0,0,0,0,6.634282848,7.786113
2016-04-01,4,2016,5.5,5,7.647373148,3.6,0.01682401,4852.813918,13179.85714,5.008018211,6.651123746,22.38073762,9.404456429,38.97284619,1518.88274,15.94282905,13.2991319,67.55571275,7.929450092,7.637189422,4.929450092,4.637189422,20,400,1.960020752,0,0.5,0,6.661043509,6.037112497,5.638784487,5.815522223,6.541543481,4.112344548,0,0,0,0,0,6.471050283,7.419333654
2016-05-01,5,2016,5.5,5,7.84213466,3.33,6.79962524,4769.570044,13419.65,4.990598111,6.654027475,22.8934995,9.21925835,38.4907305,1481.536334,16.5620465,12.8344685,66.83476294,7.816257213,7.530199698,4.816257213,4.530199698,24,576,1.932224189,0,0.5,0,6.664083409,6.048740137,5.644103443,5.83129915,6.542008555,4.073783948,0,0,0,0,0,6.501133923,7.497787042
2016-06-01,6,2016,5.25,4.75,7.705224019,3.45,8.579968,4870.630149,13355.04545,5.016241952,6.660359846,22.32177364,9.115411636,38.87410273,1511.195863,16.84826409,12.84044727,75.45549927,7.872554242,7.612635536,4.872554242,4.612635536,19,361,1.819360269,0,0.5,1,6.675544752,6.073472331,5.708671155,5.828037249,6.548920611,4.139751612,0,0,0,0,0,6.678290305,7.465174386
2016-07-01,7,2016,5.25,4.75,7.195120584,3.21,9.20549421,5166.245422,13118.82353,5.022801053,6.661375431,21.53453875,8.93532175,39.57696688,1566.336307,16.82248813,13.13068625,71.48099976,7.83384805,7.369586891,4.83384805,4.369586891,10,100,2.912467976,0,0.5,0,6.674896,6.058616112,5.676003585,5.826240017,6.553154176,4.074886258,0,0,0,0,0,6.401986555,6.986733555
2016-08-01,8,2016,5.25,4.75,7.040964108,2.79,5.68274798,5401.395463,13165,5.031682206,6.663713189,21.88537591,8.729850136,39.34675591,1548.167201,16.82476636,13.21325091,66.24565257,8.139173887,7.774151859,5.139173887,4.774151859,24,576,2.317512195,0,0.5,0,6.676330175,6.055205566,5.668853128,5.825456368,6.555868961,4.148307987,0,0,0,0,0,6.178267454,6.729049391
2016-09-01,9,2016,5.166666667,4.666666667,7.065236602,3.07,0.02083429,5336.977981,13118.2381,5.040192217,6.663189912,22.04965143,8.570552619,38.83153524,1507.888129,17.43199905,13.11626143,64.98190489,7.775298722,7.556302501,4.775298722,4.556302501,19,361,1.655755556,0,0.5,0,6.67556121,6.051556148,5.671674168,5.817237601,6.556211811,4.091188443,0,0,0,0,0,6.196815264,6.749675193
2016-10-01,10,2016,4.904761905,4.404761905,7.157184685,3.31,-0.05886028,5405.800525,13017.2381,5.038329131,6.66770116,21.52870286,8.526369095,38.84689238,1509.081048,17.98235476,13.11568048,62.11625004,7.574607628,7.377306251,4.574607628,4.377306251,18,324,1.575075503,0,0.5,0,6.679289672,6.057964839,5.669612705,5.829604522,6.559029881,4.114405797,0,0,0,0,0,6.206974643,6.890576208
2016-11-01,11,2016,4.75,4.25,7.81904002,3.58,1.93518242,5245.67294,13310.5,5.024937788,6.675226144,21.48508273,8.680734818,37.68180909,1419.918736,18.17602045,13.97635318,77.71473774,7.439166841,7.216297887,4.439166841,4.216297887,9,81,1.670586448,0,0.5,0,6.687408658,6.072885572,5.678382142,5.848730569,6.564834932,4.161187358,0,0,0,0,0,6.656860075,7.498417385
2016-12-01,12,2016,4.75,4,8.018875153,3.02,4.59492861,5217.684644,13417.66667,5.045051323,6.684554398,21.2385635,8.9045304,37.494337,1405.825307,18.2973885,14.06518,75.58428555,7.466677853,6.792391689,4.466677853,3.792391689,5,25,4.723741935,0,0.75,1,6.699402068,6.092595239,5.705969486,5.863036506,6.574472186,4.131140164,0,0,0,0,0,6.841408513,7.739924757
2017-01-01,1,2017,4.75,4,7.866554811,3.49,2.81450598,5294.857422,13358.71429,5.046550374,6.683527521,21.2019919,8.988892048,37.7202181,1422.814853,18.18251905,13.90637714,74.84100037,8.27365211,7.846540335,5.27365211,4.846540335,25,625,2.67369445,0,0.75,0,6.693452746,6.076093934,5.672329035,5.858085489,6.57183607,4.155011866,0,0,0,0,0,6.394314829,7.455266298
